"Name","Objects","Shallow Size","Retained Size"
"javax.swing.JToggleButton$ToggleButtonModel","3","120","320"
"org.apache.log4j.Logger","3","120","120"
"sun.java2d.x11.X11SurfaceDataProxy$Opaque","3","120","120"
"sun.misc.Cleaner","3","120","192"
"java.awt.BorderLayout","2","112","112"
"java.awt.geom.EllipseIterator","2","112","112"
"java.io.ExpiringCache$1","2","112","1680"
"java.lang.ref.Finalizer$FinalizerThread","1","112","368"
"java.lang.ref.Reference$ReferenceHandler","1","112","216"
"java.lang.Thread[]","2","112","112"
"java.lang.UNIXProcess$1$1","1","112","8888"
"java.text.DateFormatSymbols","2","112","112"
"java.text.SimpleDateFormat","2","112","112"
"java.util.jar.Attributes","7","112","13688"
"java.util.logging.LogManager$Cleaner","1","112","328"
"sun.awt.X11.XBaseWindow$StateLock","7","112","112"
"sun.awt.X11.XDragSourceContextPeer","1","112","112"
"sun.awt.X11.XNETProtocol","1","112","3272"
"sun.awt.X11.XToolkit$1","1","112","328"
"sun.font.StrikeMetrics","2","112","112"
"sun.java2d.loops.RenderCache","7","112","840"
"au.edu.jcu.v4l4j.JPEGFrameGrabber","1","104","1843936"
"com.sun.jmx.mbeanserver.OpenConverter$EnumConverter","3","96","96"
"java.awt.Dialog$ModalityType","4","96","96"
"java.awt.LightweightDispatcher","2","96","96"
"java.awt.Queue","4","96","96"
"java.io.BufferedOutputStream","4","96","8592"
"java.io.BufferedWriter","2","96","32896"
"java.io.FileOutputStream","3","96","144"
"java.io.PrintWriter","2","96","144"
"java.lang.ThreadGroup","2","96","296"
"java.util.HashMap$Values","6","96","96"
"java.util.LinkedHashSet","6","96","2536"
"java.util.regex.Pattern$Node[]","4","96","1728"
"javax.accessibility.AccessibleRelationSet","6","96","96"
"javax.imageio.ImageTypeSpecifier$Grayscale","3","96","1960"
"javax.imageio.plugins.jpeg.JPEGHuffmanTable","4","96","96"
"javax.management.openmbean.TabularType","2","96","1272"
"javax.swing.ClientPropertyKey","4","96","96"
"javax.swing.plaf.basic.LazyActionMap","4","96","96"
"javax.swing.UIManager$LookAndFeelInfo","4","96","96"
"sun.awt.image.BufImgSurfaceManager","4","96","160"
"sun.awt.motif.MFontConfiguration","1","96","5544"
"sun.awt.OSInfo$OSType","4","96","96"
"sun.awt.X11.XBaseWindow$InitialiseState","4","96","96"
"sun.awt.X11.XToolkit","1","96","6968"
"sun.awt.X11.XWindowAttributesData","2","96","96"
"sun.font.AttributeValues","1","96","96"
"sun.font.CMap$CMapFormat12","2","96","9976"
"sun.font.CompositeFont[]","1","96","96"
"sun.font.CompositeStrike","2","96","296"
"sun.font.FileFont[]","1","96","96"
"sun.java2d.loops.RenderCache$Entry","3","96","96"
"sun.java2d.pipe.AAShapePipe","6","96","96"
"sun.java2d.pipe.TextRenderer","6","96","96"
"sun.java2d.StateTrackable$State","4","96","96"
"sun.misc.URLClassPath","3","96","12088"
"sun.nio.ch.FileChannelImpl","2","96","480"
