"Name","Retained Size","Level"
"javax.swing.JInternalFrame [Class]","5096", "1"
"sun.awt.X11.XAWTIcon64_java_icon24_png [Class]","5056", "1"
"java.awt.Container [Class]","5048", "1"
"sun.font.TrueTypeGlyphMapper","5032", "1"
"com.sun.jmx.mbeanserver.MXBeanIntrospector [Class]","5024", "1"
"sun.font.TrueTypeGlyphMapper","5008", "1"
"com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter","4976", "1"
"sun.awt.X11.XDecoratedPeer [Class]","4944", "1"
"javax.swing.JTabbedPane [Class]","4928", "1"
"[Unreachable] short[2436] = {25, 3, 4, 6, 1256, 0, 0, 25, 7, 4, 8, 1260, 0, 0, 25, 9, 10, 11, 584, 0, 0, 25, 13, 10, 14, 592, 0, 0, 25, 16, 10, 11, 600, 0, 0, 25, 17, 10, 11, 608, 0, 0, 25, 18, 10, 14, 616, 0, 0, 25, ...}","4888", "1"
"uk.ac.ed.inf.sdp2012.group7.vision.ui.RangeSlider","4840", "1"
"javax.swing.JSlider [Class]","4824", "1"
"java.util.Locale [Class]","4760", "1"
"javax.swing.JLabel [Class]","4760", "1"
"javax.swing.JLayeredPane [Class]","4720", "1"
"javax.swing.JSlider$1SmartHashtable$LabelUIResource [Class]","4680", "1"
"com.sun.jmx.mbeanserver.PerInterface","4664", "1"
"javax.swing.JToolBar [Class]","4632", "1"
"sun.awt.im.CompositionArea [Class]","4624", "1"
"com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter","4616", "1"
"sun.reflect.misc.MethodUtil [Class]","4608", "1"
"com.sun.jmx.mbeanserver.PerInterface","4592", "1"
"javax.swing.JFrame [Class]","4576", "1"
"java.awt.AWTKeyStroke [Class]","4536", "1"
"javax.swing.JPanel [Class]","4480", "1"
"sun.awt.X11.XFramePeer [Class]","4448", "1"
"java.awt.Window [Class]","4440", "1"
"java.awt.Frame [Class]","4368", "1"
"java.awt.Dialog [Class]","4320", "1"
"sun.misc.MetaIndex","4256", "1"
"sun.font.TrueTypeFont [Class]","4248", "1"
"sun.misc.ProxyGenerator$PrimitiveTypeInfo [Class]","4248", "1"
"sun.awt.X11.XWindowPeer [Class]","4240", "1"
"sun.font.CompositeFont","4208", "1"
"javax.imageio.ImageReader [Class]","4176", "1"
"sun.font.CompositeFont","4176", "1"
"[Unreachable] byte[4096] = {-3, -79, -125, -2, 127, -63, -1, 0, -111, -98, 91, 20, -62, -36, 86, -119, -46, 24, -1, 0, -53, -64, -1, 0, -65, 127, -3, 122, 105, -47, -40, -1, 0, -53, -64, -1, 0, -65, 127, -3, 122, -91, -115, -61, -1, 0, 55, -32, -1, 0, ...}","4112", "1"
"[Unreachable] byte[4096] = {-97, -41, 104, 127, 55, -32, -1, 0, -56, 63, -74, 48, 127, -49, -8, 63, -14, 40, 82, 119, -85, -1, 0, -39, 109, -1, 0, 61, -41, -2, -3, -1, 0, -11, -24, 58, 91, -97, -7, 110, 63, -17, -33, -1, 0, 94, -105, -41, 40, 127, ...}","4112", "1"
"[Unreachable] byte[4096] = {0, -41, -93, -5, 45, -1, 0, -25, -70, -1, 0, -33, -65, -2, -67, 31, 93, -95, -4, -33, -125, -1, 0, 32, -2, -40, -63, -1, 0, 63, -32, -1, 0, -56, -95, -38, -116, -43, -1, 0, -20, -73, -1, 0, -98, -21, -1, 0, 126, -1, ...}","4112", "1"
